address,area,price,buildarea
云星钱隆世家,柳北区,2800,107
雅儒路364号小区,柳北区,1500,80
半岛中央花园,柳北区,2500,110
地王公馆,柳北区,2200,45
连塘路,柳北区,1200,60
地王公馆,柳北区,2000,55
地王公馆,柳北区,2300,67
中房胜利小区,柳北区,2450,105
工商银行宿舍(北雀路),柳北区,1500,60
温馨阳光,柳北区,2500,98.55
连塘路,柳北区,1600,80
雀儿山路三区,柳北区,400,9
绿城杨柳郡,柳北区,2800,144
丽江新村,柳北区,850,40
新园小居,柳北区,1600,110
水榭花都,柳北区,4000,196
地王公馆,柳北区,4500,145
锦绣香江,柳北区,2300,140
庆丰路,柳北区,1800,95
雅儒路东四巷192-5...,柳北区,500,18
河西一区,柳南区,1100,65
金绿洲,柳南区,1800,85
兴怡园,鱼峰区,1600,52
三中路,柳北区,1300,75
柳州市委大院,柳北区,1600,80.56
北雀路(十三区),柳北区,1500,75
胜利小区南(一区),柳北区,2200,110
地王公馆,柳北区,5000,171
胜利小区3村,柳北区,1500,72
东方国际,鱼峰区,3500,130
地王公馆,柳北区,1600,60
三中路56号小区,柳北区,1500,105
水榭花都,柳北区,1500,86
金都花苑,柳北区,1000,55
地王公馆,柳北区,5500,172
雅儒路,柳北区,1150,65
三中,柳北区,450,35
碧园大城小院,城中区,2500,109
平安小苑,柳江,900,63
中房胜利小区,柳北区,1600,104
中侨金水岸,柳北区,2600,127
北星明园,柳北区,1500,81
中侨金水岸,柳北区,2000,121
三丰名园,柳北区,2500,130
弯塘路,柳北区,900,48
保利大江郡,柳北区,2300,50
川海汇景龙湾,柳南区,2000,75
盛天悦景台锦园,鱼峰区,1000,20
金都汇,柳南区,1200,40
风情港,城中区,2700,78
地区政法大院,柳北区,1500,83
华腾新世界,柳江,1300,130
兴怡园,鱼峰区,2400,110
锦江庭苑,柳北区,2200,86
五公司钢窗厂生活区,柳北区,1300,65
盛天悦景台锦园,鱼峰区,2199,62
十一冶(二区),柳南区,1000,66.5
昌龙苑,柳江,1300,105
地王公馆,柳北区,2200,47
十一冶(一区),柳南区,900,48
华庭苑,鱼峰区,1500,80
三棉东小区,鱼峰区,1400,75
柳西新城,柳江,1300,73
瑞景文苑,鱼峰区,3499,136
锦绣龙城一区,城中区,2300,120
恒大翡翠龙庭,鱼峰区,3000,93
天江丽都,柳北区,2500,90
地王公馆,柳北区,2100,45
景中苑,鱼峰区,1400,55
文源华都,城中区,1800,48
和谐家园,柳南区,1700,73
柳西新城,柳江,1100,82
屏山小区,鱼峰区,950,48
振兴家园,柳江,1300,89
恒大御府,鱼峰区,2299,90
鼎盛家园,柳江,1100,68
京港小区,鱼峰区,2000,121
盛世豪庭,柳江,1200,110
水木新华,柳南区,1500,80
广西科技大学教工宿舍,城中区,700,10
滨江西路小区,城中区,1300,63
望泰龙城华府,柳南区,1200,50
地王公馆,柳北区,1700,63
荣昌明珠园,柳南区,2000,118
地王大厦,城中区,750,25
富华苑,柳南区,1500,110
地王公馆,柳北区,1800,55
康城,柳北区,3500,160
香榭花都,鱼峰区,1400,80
上窑雅居,鱼峰区,1800,110
彩虹城,城中区,2800,73
跃进路5区,柳北区,2800,98
彩虹城,城中区,3400,125
地王公馆,柳北区,1000,53
滨江西路小区,城中区,900,51
碧园大城小院,城中区,2600,89
中房世纪广场,城中区,2900,140.14
腾安世纪城金碧苑,柳江,1200,80
恒江源商业小区,城中区,1800,36
中房世纪广场,城中区,4500,174
城中万达公寓,城中区,2900,95
华展华园,城中区,2800,118
柳福雅居,城中区,2000,78
滨江西路8栋,城中区,1500,58
聚贤佳苑,城中区,3000,85
兴怡园,鱼峰区,2200,101
温馨花园,城中区,2600,100
文源华都,城中区,2200,80
卫生局宿舍,城中区,1000,20
文惠路63号,城中区,1800,75
汽车发动机厂宿舍(太平...,鱼峰区,1300,73.35
恒大华府,城中区,2500,83
温州城商贸城,柳南区,900,30
地王公馆,柳北区,2200,52
兴佳清华坊,城中区,2350,85
果品公司宿舍,城中区,1500,60
壶东苑,城中区,2000,88
柳西新城,柳江,700,50
青年汇,城中区,1500,50
一品世家,柳江,1200,80
华展华园,城中区,2100,87.5
东祥福苑,城中区,5000,216
文化大院,城中区,2200,98
彩虹城,城中区,2800,100
曙光商住楼,城中区,1000,55
广西科技大学教工宿舍,城中区,1150,40
居上百合园(公寓住宅),城中区,2600,110
山水1号华远岚山(别墅),城中区,7999,230
锦绣龙城二区,城中区,2800,121
滨江西路小区,城中区,1600,60
桂中大道89号大院,城中区,4000,200
三华庄园,城中区,550,20
五菱小区,柳南区,1500,80
小桃源苑,鱼峰区,1800,52
柳高教师宿舍,城中区,1900,103
五星中环大厦,城中区,1800,55
华润凯旋门,鱼峰区,2800,89
海关南路,城中区,850,50
三华庄园,城中区,1800,86
阳光100城市广场,城中区,1600,60
新时代商业港高层公寓,柳南区,1400,94
荣和千千树,鱼峰区,2500,100
城中万达公寓,城中区,2200,60
望泰龙城华府,柳南区,1900,83
津龙苑,城中区,2000,120
水电大院,城中区,2200,85
温馨花园,城中区,2500,90
彩虹城,城中区,1900,60
东堤新都,城中区,2500,60
塘福小苑,柳江,1000,88
广西科技大学教工宿舍,城中区,950,20
广西科技大学教工宿舍,城中区,3400,145
广西科技大学教工宿舍,城中区,3600,145
广西科技大学教工宿舍,城中区,2500,120
柳化职工住宅楼,柳北区,1300,61
万达华城,城中区,3200,90.25
地王公馆,柳北区,1700,40
温馨花园,城中区,1000,25
阳光100城市广场,城中区,2600,81
万达华城,城中区,3300,130
文惠路63号,城中区,1300,38
五星中环大厦,城中区,1800,47
居上好人家,城中区,3900,150
柳岸金邸,柳南区,2600,128
文源华都,城中区,1800,45
鱼峰区,城中区,900,110
政和路,城中区,700,78
阳光100城市广场,城中区,900,16
永隆大厦,城中区,700,25
天鹅湖,柳南区,2000,120
兴怡园,鱼峰区,1800,75
华润幸福里,鱼峰区,1600,36
川海汇景龙湾,柳南区,3000,127
荣和千千树,鱼峰区,3000,108
居上好人家,城中区,3900,150
柳工生活南区,柳南区,1500,75
航中苑,柳南区,1200,83
金竺花苑,柳江,400,33
五菱小区,柳南区,1500,80
锦绣龙城二区,城中区,800,38
魅力首座,柳南区,1488,58
南亚名邸,鱼峰区,1800,63
天和人家,鱼峰区,1300,47
荣城祥和名邸,鱼峰区,2200,85
盛世花园,柳江,1300,98
盛世花园,柳江,600,30
聚贤佳苑,城中区,2500,89
鱼峰区古亭山乐业园,城中区,3500,300
阳光100城市广场(商...,城中区,2000,62
碧桂园十里江湾,城中区,4000,192
临江巷6号大院,城中区,1800,93
滨江东路31号楼,城中区,2380,98
锦绣龙城二区,城中区,800,25
怡和天成苑,城中区,1200,75.69
青年汇,城中区,1700,50
金色世纪,城中区,2800,90
城中万达公寓,城中区,1900,55
风情港,城中区,4200,120
东郡尚苑,城中区,2500,88
福柳新都,城中区,2600,142
向阳小苑,城中区,2700,133
温馨花园,城中区,2800,96
春苑路,城中区,899,260
东环,城中区,3800,140
时代商厦,城中区,1800,63
振兴家园,柳江,1300,110
柳堡小苑,柳江,550,35
华展华园,城中区,2300,79.2
鼓岭小苑,柳江,400,30
振兴家园,柳江,1100,80
乐都大道161号自建房,柳江,500,35
金鑫苑,柳江,1000,120
恒大御府,鱼峰区,3000,90
世纪新城,柳江,350,27
金竺花苑,柳江,1200,110
丰泽盛景广场,柳江,1200,40
江城小苑,柳江,350,14
吉安苑,柳江,500,23
中房胜利小区北(二区),柳北区,1800,78
建都市场住宅区,柳江,1000,125
华润凯旋门,鱼峰区,2200,90
福柳新都,城中区,1600,88
金鑫苑,柳江,800,70
江城小苑,柳江,550,40
塘福小苑,柳江,1200,135
汇元大厦,柳江,1300,90
汇元大厦,柳江,900,60
华润凯旋门,鱼峰区,1900,78.6
商业小苑,柳江,1500,110
翠竹苑,柳江,800,100
